               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10452,            0.024587,                   0,           0.0035948,              0.9322,           0.0064387,           0.0013602,            0.081287,           0.0094958,                   0,              0.0712,              0.0032,              0.0032
                   1,            0.097105,            0.024751,                   0,           0.0018954,             0.49153,           0.0023245,          0.00058402,            0.080654,           0.0095055,                   0,            0.041474,           0.0064743,           0.0064743
                   2,            0.094359,            0.026535,                   0,          0.00091503,             0.23729,           0.0012492,          0.00036966,            0.080351,           0.0095063,                   0,            0.011722,           0.0097224,           0.0097224
                   3,            0.092694,             0.02656,                   0,            0.042625,             0.11864,            0.028712,            0.010011,              0.1107,             0.02034,                   0,           0.0098812,           0.0098812,           0.0098812
                   4,            0.085683,            0.027004,                   0,           0.0026258,             0.10169,           0.0010782,          0.00034294,                 nan,                 nan,                   0,           0.0098812,           0.0098812,           0.0098812
                   5,            0.082344,            0.028469,                   0,            0.053462,             0.44068,            0.035838,            0.011605,             0.10156,            0.036847,                   0,           0.0098416,           0.0098416,           0.0098416
                   6,            0.081126,            0.028276,                   0,           0.0047997,             0.52542,           0.0037746,           0.0016251,            0.097906,            0.030001,                   0,            0.009802,            0.009802,            0.009802
                   7,            0.077894,             0.02886,                   0,             0.18277,            0.067797,            0.071878,            0.024473,            0.080058,           0.0091262,                   0,           0.0097624,           0.0097624,           0.0097624
                   8,            0.075926,             0.02708,                   0,           0.0027803,             0.52542,            0.031966,           0.0061048,            0.069021,           0.0097975,                   0,           0.0097228,           0.0097228,           0.0097228
                   9,            0.075393,             0.02951,                   0,             0.13808,            0.050847,            0.070943,            0.014752,            0.067199,            0.010003,                   0,           0.0096832,           0.0096832,           0.0096832
                  10,            0.074202,            0.028908,                   0,             0.11372,             0.15254,            0.046956,            0.010616,             0.06708,            0.010529,                   0,           0.0096436,           0.0096436,           0.0096436
                  11,            0.071291,            0.028693,                   0,             0.24001,             0.30508,             0.13467,            0.031408,            0.068691,            0.010742,                   0,            0.009604,            0.009604,            0.009604
                  12,            0.069359,             0.03039,                   0,             0.22943,             0.30508,             0.13837,            0.023862,            0.064252,            0.011759,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,            0.066297,            0.029074,                   0,              0.1348,             0.16949,            0.053566,            0.012203,            0.058628,            0.012016,                   0,           0.0095248,           0.0095248,           0.0095248
                  14,            0.065817,            0.029614,                   0,             0.43474,             0.33898,             0.25624,            0.063587,            0.061393,            0.012475,                   0,           0.0094852,           0.0094852,           0.0094852
                  15,            0.060583,            0.030049,                   0,             0.32961,             0.28814,             0.18697,            0.046497,            0.056658,            0.010275,                   0,           0.0094456,           0.0094456,           0.0094456
                  16,            0.058582,            0.030164,                   0,             0.33661,             0.44068,             0.34581,            0.086087,            0.050597,            0.011275,                   0,            0.009406,            0.009406,            0.009406
                  17,            0.058167,            0.029792,                   0,             0.51128,             0.40785,             0.43432,             0.14334,            0.049714,            0.011791,                   0,           0.0093664,           0.0093664,           0.0093664
                  18,            0.053962,            0.029641,                   0,             0.32273,             0.18644,              0.1796,            0.043597,            0.055199,            0.016194,                   0,           0.0093268,           0.0093268,           0.0093268
                  19,            0.052874,            0.030496,                   0,             0.13549,             0.23729,            0.059617,            0.017577,            0.061739,            0.013907,                   0,           0.0092872,           0.0092872,           0.0092872
                  20,            0.052154,            0.029378,                   0,             0.30093,             0.35593,             0.27197,             0.11687,             0.04713,            0.011373,                   0,           0.0092476,           0.0092476,           0.0092476
                  21,            0.049914,            0.029275,                   0,             0.48814,             0.49153,             0.38234,             0.15868,            0.043074,            0.013048,                   0,            0.009208,            0.009208,            0.009208
                  22,            0.048358,            0.029075,                   0,             0.20522,             0.42373,             0.19923,            0.085713,            0.050297,            0.011489,                   0,           0.0091684,           0.0091684,           0.0091684
                  23,            0.046919,            0.027807,                   0,             0.45685,             0.42373,             0.41353,             0.15445,            0.041498,            0.010693,                   0,           0.0091288,           0.0091288,           0.0091288
                  24,            0.046623,            0.027191,                   0,             0.65057,             0.75739,             0.76075,             0.41135,            0.033433,            0.010232,                   0,           0.0090892,           0.0090892,           0.0090892
                  25,            0.045882,            0.025988,                   0,             0.22947,             0.16949,            0.081569,            0.018609,            0.067911,           0.0095385,                   0,           0.0090496,           0.0090496,           0.0090496
                  26,            0.042931,             0.02645,                   0,             0.20766,            0.084746,            0.040248,           0.0090673,            0.070628,           0.0090451,                   0,             0.00901,             0.00901,             0.00901
                  27,            0.042354,            0.026218,                   0,             0.59672,             0.45763,             0.47016,             0.14414,            0.047512,           0.0092667,                   0,           0.0089704,           0.0089704,           0.0089704
                  28,            0.040627,            0.024252,                   0,             0.62294,             0.44813,             0.52677,             0.20045,            0.045844,            0.011804,                   0,           0.0089308,           0.0089308,           0.0089308
                  29,            0.038774,            0.023237,                   0,             0.78824,             0.75715,             0.84776,             0.52034,            0.032897,           0.0092621,                   0,           0.0088912,           0.0088912,           0.0088912
                  30,            0.039591,            0.022326,                   0,             0.68383,             0.67797,             0.73787,             0.36846,            0.036007,           0.0082084,                   0,           0.0088516,           0.0088516,           0.0088516
                  31,            0.038604,             0.02175,                   0,             0.82206,             0.86139,             0.81395,             0.50236,            0.032063,           0.0079642,                   0,            0.008812,            0.008812,            0.008812
                  32,            0.036822,            0.021401,                   0,             0.92864,             0.88136,             0.97275,             0.58114,            0.033757,           0.0073108,                   0,           0.0087724,           0.0087724,           0.0087724
                  33,            0.035506,            0.020658,                   0,              0.8693,             0.81356,              0.9095,             0.43822,            0.031128,           0.0069696,                   0,           0.0087328,           0.0087328,           0.0087328
                  34,            0.035177,            0.020511,                   0,             0.89823,             0.79661,             0.92079,             0.43998,            0.028621,           0.0076269,                   0,           0.0086932,           0.0086932,           0.0086932
                  35,            0.035168,            0.021305,                   0,             0.74502,             0.88136,             0.88006,             0.41638,            0.036858,           0.0076029,                   0,           0.0086536,           0.0086536,           0.0086536
                  36,              0.0339,            0.020261,                   0,             0.96157,             0.91525,             0.97753,             0.55734,             0.02937,           0.0064275,                   0,            0.008614,            0.008614,            0.008614
